title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,Nominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,genre
der außenseiter (1983),der au enseiter,http://www.imdb.com/title/tt0085900/,6.2,1315,6000,1983.0,video.movie,0,0,14,0,7,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crime
james bond 007 - sag niemals nie (1983),james bond sag niemals nie,http://www.imdb.com/title/tt0086006/,6.2,39897,8040,1983.0,video.movie,1,2,40,233,195,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Action
das osterman-weekend (1983),das osterman weekend,http://www.imdb.com/title/tt0086058/,5.9,5449,6180,1983.0,video.movie,2,0,8,79,51,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Action
papy fait de la résistance (1983),papy fait de la r sistance,http://www.imdb.com/title/tt0086079/,6.8,1496,6120,1983.0,video.movie,0,0,2,0,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Comedy
the pirates of penzance (1983),the pirates of penzance,http://www.imdb.com/title/tt0086112/,7.2,2203,6720,1983.0,video.movie,0,1,29,31,50,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Comedy
psycho ii (1983),psycho ii,http://www.imdb.com/title/tt0086154/,6.4,14132,6780,1983.0,video.movie,0,0,15,106,168,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Horror
lockere geschäfte (1983),lockere gesch fte,http://www.imdb.com/title/tt0086200/,6.8,48852,5940,1983.0,video.movie,0,2,37,821,145,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
lustige burschen (1934),lustige burschen,http://www.imdb.com/title/tt0025946/,7.2,448,5760,1934.0,video.movie,0,0,2,4,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Comedy
seeing red (1983),seeing red,http://www.imdb.com/title/tt0086273/,7.8,78,6000,1983.0,video.movie,0,1,3,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Documentary
das ausgekochte schlitzohr 3 (1983),das ausgekochte schlitzohr,http://www.imdb.com/title/tt0086325/,3.2,5429,5100,1983.0,video.movie,0,0,4,0,64,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
